,name,maths,phy,chem,m-grade,p-grade,c-grade,avg
0,John,45,22,98,C,F,A,55.0
1,William,44,23,2,S,F,F,23.0
2,Henry,22,89,35,F,A,S,48.666666666666664
3,Chris,88,55,23,A,C,F,55.333333333333336
4,Jack,45,89,45,C,A,C,59.666666666666664
5,Stephane,64,45,48,C,C,C,52.333333333333336
6,Harald,12,12,12,F,F,F,12.0
7,Hearmy,78,94,65,A,A,B,79.0
8,Sinsel,98,95,23,A,A,F,72.0
9,George,45,65,89,C,B,A,66.33333333333333
10,James,64,32,26,C,F,F,40.666666666666664
11,Jade,23,78,47,F,A,C,49.333333333333336
12,Tommy,45,98,14,C,A,F,52.333333333333336
13,Yonus,78,45,44,A,C,S,55.666666666666664
14,Randy,95,12,84,A,F,A,63.666666666666664
15,Rex,31,95,98,F,A,A,74.66666666666667
16,Tucsan,77,32,56,A,F,C,55.0
17,Amell,87,78,34,A,A,F,66.33333333333333
18,Vin,65,45,78,B,C,A,62.666666666666664
19,Hector,32,12,78,F,F,A,40.666666666666664
